sample_ID,ASV Table,Site,Group-Analyses,WaterType,Region,Region2,Habitat,Location,Description,Partner,year_month_day,year,month,day,lat,long,Event_ID,Treatment,Field_Blank,Extraction_Blank,PCR_Blank,Date.of.extraction,PCR_Plate,MiSeq.Run
ICOE0786,ICOE0786,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_9_3,2020,9,3,51.65,-127.9518,CalvertKC10_2020_9_3,Sample,ICOE0785,ICOXN051,NEG_PLATE7,2021-03-23,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0787,ICOE0787,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_9_3,2020,9,3,51.65,-127.9518,CalvertKC10_2020_9_3,Sample,ICOE0785,ICOXN051,NEG_PLATE7,2021-03-23,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE0788,ICOE0788,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2020_9_3,2020,9,3,51.65,-127.9518,CalvertKC10_2020_9_3,Sample,ICOE0785,ICOXN051,NEG_PLATE7,2021-03-23,7,12S_ICO_plates5_6_7_ReRun20210612
ICOE1068,ICOE1068,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_1_11,2021,1,11,51.65,-127.9518,CalvertKC10_2021_1_11,Sample,DUMMY,ICOXN067,NEG_PLATE9,2021-05-13,9,12S_ICO_plates8_9_10_Run20210916
ICOE1069,ICOE1069,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_1_11,2021,1,11,51.65,-127.9518,CalvertKC10_2021_1_11,Sample,DUMMY,ICOXN067,NEG_PLATE9,2021-05-13,9,12S_ICO_plates8_9_10_Run20210916
ICOE1070,ICOE1070,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_1_11,2021,1,11,51.65,-127.9518,CalvertKC10_2021_1_11,Sample,DUMMY,ICOXN067,NEG_PLATE9,2021-05-13,9,12S_ICO_plates8_9_10_Run20210916
ICOE1105,ICOE1105,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_2_10,2021,2,10,51.65,-127.9518,CalvertKC10_2021_2_10,Sample,ICOE1104,ICOXN071,NEG_PLATE9,2021-06-02,9,12S_ICO_plates8_9_10_Run20210916
ICOE1106,ICOE1106,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_2_10,2021,2,10,51.65,-127.9518,CalvertKC10_2021_2_10,Sample,ICOE1104,ICOXN071,NEG_PLATE9,2021-06-02,9,12S_ICO_plates8_9_10_Run20210916
ICOE1107,ICOE1107,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_2_10,2021,2,10,51.65,-127.9518,CalvertKC10_2021_2_10,Sample,ICOE1104,ICOXN071,NEG_PLATE9,2021-06-02,9,12S_ICO_plates8_9_10_Run20210916
ICOE1222,ICOE1222,Calvert-KC10,Calvert-KC10,Marine,Central Coast,Central Coast,Offshore,"KC10 Oceanography Site, Kwakshua Channel, Calvert Island, Central Coast",offshore where Kwakshua Channel meets Fitz Hugh Sound,Hakai,2021_3_12,2021,3,12,51.65,-127.9518,CalvertKC10_2021_3_12,Sample,ICOE1221,ICOXN074,NEG_PLATE10,2021-06-18,10,12S_ICO_plates8_9_10_Run20210916
